formula
B0.815 Si0.06 Fe0.125 
Mn0.85 Co0.05 Zr0.1 
Mg0.45 Ni0.35 La0.2 
Ti0.3 Ni0.3 Cu0.4 
Al0.5 Cu0.3 La0.2 
Be0.225 Ti0.14 Fe0.1 Cu0.125 Zr0.41 
Be0.225 Ti0.14 Fe0.08 Ni0.02 Cu0.125 Zr0.41 
Al0.44 Ni0.38 La0.18 
B0.1 Co0.77 Nb0.13 
Ti0.34 Cu0.66 
B0.05 Fe0.83 Zr0.12 
Be0.275 Ti0.08 Ni0.1 Cu0.075 Zr0.47 
C0.16 Co0.64 Mo0.2 
Al0.45 Ni0.1 Zr0.45 
Mg0.675 Pd0.175 Yb0.15 
P0.16 Ni0.11 Cu0.73 
Mg0.55 Cu0.2 La0.25 
Be0.2625 Ti0.0962 Ni0.1 Cu0.0875 Zr0.4538 
Si0.13 Ti0.57 Nb0.3 
B0.06 Fe0.82 Mo0.12 
Al0.14 Cu0.82 Nd0.04 
Be0.2625 Ti0.096 Ni0.086 Cu0.1015 Zr0.454 
B0.12 Fe0.68 Mo0.2 
Al0.36 Ni0.3 Zr0.34 
Mn0.8 Co0.1 Zr0.1 
Mg0.5 Cu0.3 Nd0.2 
Ti0.3 Ni0.2 Cu0.5 
B0.12 Fe0.81 Hf0.07 
Be0.225 Ti0.14 Fe0.05 Ni0.05 Cu0.125 Zr0.41 
Be0.26611328125 Ti0.08056640625 Ni0.09765625 Cu0.09912109375 Zr0.45654296875 
Al0.35 Ni0.32 Zr0.33 
B0.08 Fe0.77 Mo0.15 
Be0.25 Ti0.11 Ni0.1 Cu0.1 Zr0.44 
C0.16 Ni0.68 Mo0.16 
Ti0.409 Cu0.541 Nb0.05 
Si0.12 Ti0.58 Nb0.3 
Al0.34 Ni0.34 Zr0.32 
C0.18 Co0.745 W0.075 
B0.05 Fe0.83 Nb0.12 
Al0.24 Sc0.2 Co0.2 Y0.36 
Ti0.5 Ni0.2 Cu0.23 Sn0.07 
B0.03 Fe0.92 Nb0.05 
B0.1 Fe0.72 Mo0.18 
Be0.225 C0.02 Ti0.14 Ni0.08 Cu0.125 Zr0.41 
Be0.2375 Ti0.1237 Ni0.1 Cu0.1125 Zr0.4263 
B0.025 Fe0.92 Zr0.055 
P0.19 Ni0.72 Mo0.09 
Be0.225 C0.01 Ti0.14 Ni0.09 Cu0.125 Zr0.41 
Ti0.3 Ni0.1 Cu0.6 
Al0.4 Ni0.2 Zr0.4 
C0.2 Fe0.7 W0.1 
Be0.225 Ti0.14 Ni0.1 Cu0.125 Zr0.41 
B0.02 Fe0.93 Mo0.05 
C0.18 Co0.58 Mo0.24 
Be0.215 Mg0.005 Ti0.15 Ni0.11 Cu0.11 Y0.01 Zr0.4 
B0.04 Fe0.91 Mo0.05 
C0.18 Ni0.62 Mo0.2 
B0.12 Fe0.81 W0.07 
P0.2 Ni0.72 Pd0.08 
Be0.225 Ti0.138 Ni0.1 Cu0.125 Zr0.412 
B0.05 Ni0.95 
Al0.24 Sc0.2 Co0.1 Ni0.1 Y0.36 
Si0.45 Ti0.08 Zr0.47 
Al0.3 Ni0.42 Zr0.28 
B0.04 Fe0.9 Zr0.06 
Ti0.441 Ni0.0706 Cu0.3704 Zr0.098 Sn0.02 
Ti0.4320000000000001 Ni0.06911999999999999 Cu0.36288000000000004 Zr0.09600000000000003 Sn0.04 
Ti0.441 Ni0.07056 Cu0.37044 Zr0.098 Sn0.02 
Ti0.45 Ni0.07200000000000001 Cu0.37799999999999995 Zr0.1 
B0.1 Co0.74 Zr0.16 
Si0.1 Ti0.6 Nb0.3 
Mg0.3 Cu0.4 Y0.3 
Si0.4 Ti0.15 Zr0.45 
Ti0.3 Cu0.7 
C0.05 Ni0.95 
Cr0.25 Fe0.65 Zr0.1 
Ti0.2 Ni0.7 Cu0.1 
Ti0.4315000000000001 Ni0.0906 Cu0.3624000000000001 Zr0.0959 Sn0.019600000000000003 
Be0.2125 Ti0.1512 Ni0.0998 Cu0.1377 Zr0.3988 
Al0.36 Ni0.28 Zr0.36 
Al0.42 Ni0.4 La0.18 
B0.015 Fe0.92 Zr0.065 
Ti0.38 Cu0.57 Nb0.05 
Al0.65 Ni0.05 La0.3 
Al0.15 Ni0.75 Zr0.1 
Fe0.68 Cu0.32 
Be0.2 Ti0.165 Ni0.0975 Cu0.1525 Zr0.385 
B0.01 Fe0.92 Zr0.07 
B0.06 Fe0.79 Nb0.15 
Al0.57 Ni0.17 La0.26 
B0.02 Fe0.91 Zr0.07 
P0.020070838252656438 Fe0.4899645808736718 Ni0.4899645808736718 
B0.0020440062522544193 Fe0.4989779968738728 Ni0.4989779968738728 
Fe0.5 Ni0.5 
C0.025 Co0.95 W0.025 
Co1.0 
Al0.12 Cu0.84 Nd0.04 
Cr0.2 Fe0.7 Zr0.1 
Ti0.2 Ni0.6 Cu0.2 
C0.2 Co0.52 Mo0.28 
Mg0.3 Cu0.6 Nd0.1 
Al0.3 Cu0.6 La0.1 
B0.03 Fe0.9 Zr0.07 
B0.04 Fe0.89 Zr0.07 
C0.14 Fe0.78 W0.08 
C0.12 Ni0.76 Mo0.12 
B0.05 Fe0.8 Zr0.15 
Cr0.17 Fe0.73 Zr0.1 
Be0.35 Zr0.625 Nb0.025 
B0.06 Co0.84 Nb0.1 
Mg0.6 Ni0.1 La0.3 
Ti0.2 Ni0.5 Cu0.3 
Si0.15 Ti0.5 Zr0.35 
Mg0.5 Y0.3 Ag0.2 
Cr0.15 Fe0.75 Zr0.1 
B0.1 Fe0.7 Mo0.2 
Al0.3 Ni0.4 Zr0.3 
Ti0.27 Cu0.73 
Fe0.92 Zr0.08 
C0.08 Fe0.75 Mo0.17 
B0.06 Fe0.79 Mo0.15 
B0.02 Fe0.9 Zr0.08 
B0.3 Fe0.168 Zr0.532 
Al0.28 Ni0.44 Zr0.28 
B0.04 Fe0.88 Zr0.08 
B0.09 Fe0.82 Nd0.09 
V0.2 Co0.725 Zr0.075 
C0.22 Co0.46 Mo0.32 
B0.1 Fe0.83 Ta0.07 
V0.18 Co0.75 Zr0.07 
B0.08 Fe0.74 Mo0.18 
B0.05 Fe0.8 Nb0.15 
Mg0.45 Ni0.35 Nd0.2 
B0.05 Co0.85 Zr0.1 
Cr0.1 Fe0.8 Zr0.1 
Mg0.55 Ni0.2 Nd0.25 
Ti0.2 Ni0.4 Cu0.4 
P0.19 Ni0.69 Mo0.12 
Al0.4 Ni0.42 La0.18 
Be0.2 Mg0.12 Fe0.02 Ni0.06 Cu0.1 Y0.02 Zr0.36 Nb0.12 
Cr0.08 Fe0.82 Zr0.1 
C0.16 Co0.6 Mo0.24 
V0.16 Co0.772 Zr0.068 
Be0.2 Mg0.12 Ni0.08 Cu0.1 Y0.02 Zr0.36 Nb0.12 
Mg0.5 Ni0.25 La0.25 
Ti0.25 Cu0.75 
Fe0.91 Zr0.09 
Cr0.07 Fe0.83 Zr0.1 
B0.01 Fe0.9 Zr0.09 
C0.16 Ni0.64 Mo0.2 
Cr0.06 Fe0.84 Zr0.1 
V0.14 Co0.795 Zr0.065 
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.07 Nb0.04 
Mg0.384 Ca0.232 Ag0.384 
Si0.05 Ni0.95 
Si0.35 Ti0.2 Zr0.45 
Ti0.2 Ni0.3 Cu0.5 
B0.02 Fe0.9 Mo0.08 
Mn0.08 Fe0.82 Zr0.1 
B0.04 Fe0.88 Mo0.08 
Al0.1 Cu0.86 Ce0.04 
Cr0.2 Co0.728 Zr0.07200000000000001 
P0.19 Ni0.68 Mo0.13 
Cr0.14 Co0.8 Zr0.06 
C0.22 Fe0.66 W0.12 
V0.12 Co0.815 Zr0.065 
Cr0.16 Co0.775 Zr0.065 
Al0.1 Cu0.88 Ce0.02 
Cr0.18 Co0.75 Zr0.07 
C0.15 Co0.775 W0.075 
Be0.35 Zr0.65 
Mg0.4 Ni0.4 La0.2 
C0.17 Fe0.73 W0.1 
Ti0.1 Ni0.9 
C0.18 Ni0.58 Mo0.24 
Fe0.9 Zr0.1 
Mg0.55 Cu0.2 Nd0.25 
Al0.2 Ni0.6 Zr0.2 
Cr0.3 Co0.6 Zr0.1 
Al0.00017999999999999998 Fe0.8998200000000001 Zr0.1 
Al0.00036 Fe0.89964 Zr0.1 
Al0.00054 Fe0.8994599999999999 Zr0.1 
Al0.0009 Fe0.8991 Zr0.1 
Fe0.897 Zr0.1 Dy0.003 
Cr0.12 Co0.82 Zr0.06 
C0.18 Co0.54 Mo0.28 
B0.02 Fe0.88 Zr0.1 
Al0.35 Ni0.26 Zr0.39 
V0.1 Co0.835 Zr0.065 
Si0.15 Ti0.5 Nb0.35 
Be0.35 Zr0.6 Nb0.05 
B0.04 Fe0.86 Zr0.1 
Al0.26 Ni0.46 Zr0.28 
Cr0.1 Co0.84 Zr0.06 
Fe0.81 Co0.09 Zr0.1 
Ti0.387 Cu0.513 Nb0.1 
Be0.35 Zr0.55 Nb0.1 
Mg0.5 Cu0.25 La0.25 
Fe0.8 Co0.1 Zr0.1 
Ti0.1 Ni0.8 Cu0.1 
Ti0.2 Ni0.1 Cu0.7 
C0.2 Co0.7 W0.1 
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.03 Nb0.08 
B0.08 Fe0.72 Mo0.2 
Si0.3 Ti0.26 Zr0.44 
Al0.38 Ni0.44 La0.18 
Fe0.89 Zr0.11 
B0.08 Fe0.85 Hf0.07 
B0.07 Co0.77 Zr0.16 
Mg0.45 Cu0.35 Nd0.2 
Cr0.25 Co0.65 Zr0.1 
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.09 Nb0.02 
Fe0.81 Ni0.09 Zr0.1 
Fe0.72 Co0.18 Zr0.1 
V0.08 Co0.85 Zr0.07 
Al0.05 Co0.85 Zr0.1 
Ti0.1 Ni0.7 Cu0.2 
C0.12 Ni0.72 Mo0.16 
Mg0.4 Ni0.4 Ce0.2 
C0.2 Co0.48 Mo0.32 
Ti0.2 Cu0.8 
Fe0.7 Co0.2 Zr0.1 
Cr0.08 Co0.855 Zr0.065 
B0.06 Fe0.76 Mo0.18 
Fe0.46 Cu0.54 
Fe0.675 Co0.225 Zr0.1 
B0.02 Fe0.88 Mo0.1 
B0.06 Co0.8 Nb0.14 
Si0.05 Co0.85 Zr0.1 
C0.14 Co0.62 Mo0.24 
B0.04 Fe0.86 Mo0.1 
Al0.08 Cu0.88 Nd0.04 
Fe0.765 Ni0.135 Zr0.1 
Fe0.63 Co0.27 Zr0.1 
Fe0.88 Zr0.12 
C0.06 Fe0.76 Mo0.18 
Al0.6 Ni0.1 La0.3 
Ti0.1 Ni0.6 Cu0.3 
Fe0.6 Co0.3 Zr0.1 
Cr0.2 Co0.7 Zr0.1 
Al0.3 Ni0.35 Zr0.35 
Al0.1 Ni0.8 Zr0.1 
Cr0.06 Co0.872 Zr0.068 
C0.14 Ni0.66 Mo0.2 
V0.08 Co0.84 Zr0.08 
B0.03 Fe0.85 Zr0.12 
V0.06 Co0.865 Zr0.075 
Mg0.5 Cu0.25 Ce0.25 
Ti0.34 Ni0.08 Cu0.47 Zr0.11 
Al0.5 Ni0.25 La0.25 
Fe0.54 Co0.36 Zr0.1 
C0.2 Fe0.68 W0.12 
Al0.24 Ni0.48 Zr0.28 
Fe0.72 Ni0.18 Zr0.1 
B0.17 Ni0.75 W0.08 
Cr0.171 Co0.7290000000000001 Zr0.1 
Fe0.5 Co0.4 Zr0.1 
Mg0.4 Cu0.4 La0.2 
Al0.4 Ni0.4 La0.2 
Si0.01 Ti0.33 Ni0.06 Cu0.47 Zr0.11 Sn0.02 
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.11 
Be0.325 Zr0.635 Nb0.04 
Fe0.87 Zr0.13 
Al0.36 Ni0.46 La0.18 
Cr0.083 Co0.8340000000000001 Zr0.083 
V0.09 Co0.818 Zr0.092 
Co0.898 Zr0.062 W0.04 
C0.1 Fe0.82 W0.08 
C0.16 Co0.56 Mo0.28 
C0.16 Ni0.6 Mo0.24 
Fe0.45 Co0.45 Zr0.1 
Cr0.15 Co0.75 Zr0.1 
Al0.3 Ni0.55 La0.15 
Al0.25 Ni0.45 Zr0.3 
B0.03 Fe0.85 Nb0.12 
B0.02 Fe0.85 Zr0.13 
B0.05 Co0.81 Nb0.14 
Si0.01 Ti0.33 Ni0.08 Cu0.47 Zr0.05 Nb0.06 
Al0.55 Ni0.17 La0.28 
Fe0.37 Cu0.63 
Ti0.33 Cu0.57 Nb0.1 
Mg0.3 Cu0.3 Y0.4 
Fe0.4 Co0.5 Zr0.1 
Mg0.5 Y0.2 Ag0.3 
V0.1 Co0.8 Zr0.1 
C0.125 Co0.8 W0.075 
Ti0.1 Ni0.4 Cu0.5 
Al0.2 Ni0.7 La0.1 
V0.106 Co0.792 Zr0.102 
Mg0.308 Ca0.308 Ag0.384 
Cr0.096 Co0.812 Zr0.092 
Si0.01 Ti0.33 Ni0.08 Cu0.47 Nb0.11 
C0.18 Co0.72 W0.1 
Mg0.2142857142857143 Ca0.2857142857142857 Cu0.2142857142857143 Ag0.2857142857142857 
B0.02 Co0.91 Zr0.07 
B0.175 Fe0.66 Nd0.165 
B0.06 Fe0.74 Mo0.2 
Fe0.63 Ni0.27 Zr0.1 
Fe0.36 Co0.54 Zr0.1 
Al0.34 Ni0.24 Zr0.42 
Co0.89 Zr0.07 Mo0.04 
Ti0.15 Cu0.85 
Mg0.35 Al0.2 Ag0.45 
B0.02 Fe0.86 Mo0.12 
B0.06 Fe0.87 Hf0.07 
P0.18 Ni0.77 W0.05 
C0.18 Ni0.54 Mo0.28 
Be0.325 Zr0.65 Nb0.025 
Si0.15 Ti0.45 Zr0.4 
Mg0.6 Ni0.1 Nd0.3 
Mg0.5 Ni0.25 Nd0.25 
B0.04 Fe0.84 Mo0.12 
Mg0.4 Ni0.4 Nd0.2 
Cr0.1 Co0.8 Zr0.1 
Mg0.38461538461538464 Ca0.15384615384615385 Cu0.07692307692307693 Ag0.38461538461538464 
Al0.4 Ni0.1 Zr0.5 
Ni1.0 
Fe0.3 Co0.6 Zr0.1 
Al0.06 Cu0.9 Ce0.04 
Cr0.04 Co0.885 Zr0.075 
C0.18 Co0.5 Mo0.32 
V0.2 Co0.66 Zr0.14 
Cr0.106 Co0.79 Zr0.104 
Co0.902 Zr0.078 W0.02 
Mg0.55 Cu0.15 La0.3 
Mg0.45 Ni0.3 La0.25 
Al0.22 Ni0.5 Zr0.28 
Co0.9 Zr0.08 Mo0.02 
Cr0.112 Co0.78 Zr0.108 
Fe0.225 Co0.675 Zr0.1 
Ti0.425 Ni0.075 Cu0.425 Zr0.025 Hf0.05 
V0.04 Co0.88 Zr0.08 
V0.05 Co0.85 Zr0.1 
Ti0.1 Ni0.2 Cu0.7 
Fe0.3 Cu0.7 
Fe0.2 Co0.7 Zr0.1 
B0.3 Si0.1 Mo0.6 
Cr0.02 Co0.897 Zr0.083 
V0.12 Co0.758 Zr0.122 
Al0.08 Si0.045 Ti0.2 Ni0.42 Cu0.05 Zr0.205 
Al0.34 Ni0.48 La0.18 
Fe0.54 Ni0.36 Zr0.1 
Fe0.18 Co0.72 Zr0.1 
V0.02 Co0.895 Zr0.085 
Fe0.29 Cu0.71 
Cr0.116 Co0.77 Zr0.114 
Si0.01 Ti0.415 Ni0.075 Cu0.425 Zr0.025 Hf0.05 
Cr0.05 Co0.85 Zr0.1 
Al0.35 Ni0.2 Zr0.45 
Si0.4 Ti0.08 Zr0.52 
C0.18 Fe0.7 W0.12 
C0.12 Ni0.68 Mo0.2 
B0.03 Fe0.82 Zr0.15 
V0.18 Co0.675 Zr0.145 
Co0.91 Zr0.09 
Cr0.126 Co0.754 Zr0.12 
Mg0.35 Ni0.45 La0.2 
Si0.35 Ti0.15 Zr0.5 
Fe0.1 Co0.8 Zr0.1 
Al0.4 Cu0.4 La0.2 
C0.2 Co0.44 Mo0.36 
Ti0.1 Ni0.1 Cu0.8 
Ti0.366 Cu0.484 Nb0.15 
Al0.08 Si0.035 Ti0.2 Ni0.42 Cu0.05 Zr0.215 
Be0.25 Cu0.25 Zr0.5 
Mg0.5 Cu0.25 Nd0.25 
Fe0.05 Co0.85 Zr0.1 
Ti0.423 Ni0.06767999999999999 Cu0.35531999999999997 Zr0.094 Sn0.06 
C0.14 Ni0.62 Mo0.24 
Fe0.24 Cu0.76 
P0.2 Ni0.64 Pd0.16 
V0.16 Co0.6920000000000001 Zr0.14800000000000002 
Be0.325 Zr0.675 
Al0.1 Ti0.2 Ni0.45 Zr0.25 
Co0.9 Zr0.1 
Al0.3 Ni0.3 Zr0.4 
C0.05 Co0.9 W0.05 
Ti0.1 Cu0.9 
C0.22 Fe0.64 W0.14 
Al0.02 Co0.88 Zr0.1 
Ti0.44 Cu0.34 Zr0.22 
C0.16 Co0.74 W0.1 
Co0.85 Ni0.05 Zr0.1 
Be0.325 Zr0.625 Nb0.05 
B0.16 Fe0.672 Nd0.168 
B0.04 Co0.86 Zr0.1 
Al0.08 Si0.025 Ti0.2 Ni0.42 Cu0.05 Zr0.225 
Al0.2 Ni0.52 Zr0.28 
V0.14 Co0.71 Zr0.15 
Al0.3 Cu0.28 Y0.42 
P0.0020440062522544193 Fe0.8482625946855837 Mo0.14969339906216186 
Si0.15 Ti0.45 Nb0.4 
Mg0.4 Cu0.4 Nd0.2 
Co0.8 Ni0.1 Zr0.1 
B0.2 Fe0.2 Co0.2 Mo0.4 
Al0.32 Ni0.5 La0.18 
Al0.34 Ni0.2 Zr0.46 
Al0.08 Si0.035 Ti0.19 Ni0.42 Cu0.05 Zr0.225 
C0.1 Co0.825 W0.075 
C0.2 Co0.68 W0.12 
B0.02 Fe0.83 Mo0.15 
Al0.55 Ni0.15 La0.3 
Al0.33 Ni0.22 Zr0.45 
Al0.05 Ni0.85 Zr0.1 
Al0.25 Ni0.4 Zr0.35 
P0.2 Ni0.63 Pd0.17 
Fe0.36 Ni0.54 Zr0.1 
V0.12 Co0.728 Zr0.152 
B0.04 Fe0.81 Mo0.15 
Al0.45 Ni0.3 La0.25 
Al0.14 Cu0.8 Ce0.06 
Ti0.35 Cu0.47 Zr0.18 
Cr0.18 Co0.66 Zr0.16 
C0.15 Co0.75 W0.1 
B0.25 Si0.15 Mo0.6 
B0.17 Ni0.73 Ta0.1 
Ti0.3 Ni0.5 Zr0.2 
Si0.3 Ti0.2 Zr0.5 
Al0.2 Ni0.5 Zr0.3 
C0.1 Ni0.7 Mo0.2 
V0.1 Co0.745 Zr0.155 
Mg0.30769230769230765 Ca0.23076923076923075 Cu0.07692307692307691 Ag0.3846153846153846 
C0.18 Co0.46 Mo0.36 
Al0.14 Cu0.8 Nd0.06 
C0.06 Fe0.86 W0.08 
Al0.08 Ti0.2 Ni0.42 Cu0.05 Zr0.25 
Al0.18 Ni0.54 Zr0.28 
Cr0.16 Co0.675 Zr0.165 
Co0.88 Zr0.06 Mo0.06 
Mg0.5 Ni0.2 La0.3 
Mg0.5 Y0.1 Ag0.4 
Fe0.1 Cu0.9 
Al0.3 Ni0.52 La0.18 
C0.2 Fe0.66 W0.14 
C0.12 Ni0.64 Mo0.24 
V0.08 Co0.763 Zr0.157 
B0.25 Fe0.18 Zr0.57 
B0.06100000000000001 Fe0.8210000000000001 Nd0.11800000000000002 
B0.08 Fe0.79 Nd0.13 
Si0.05 Ti0.16 Ni0.59 Zr0.2 
Al0.53 Ni0.17 La0.3 
C0.14 Co0.76 W0.1 
Cr0.14 Co0.69 Zr0.17 
Mg0.55 Ni0.15 Nd0.3 
Mg0.45 Ni0.3 Nd0.25 
Al0.12 Cu0.82 Ce0.06 
B0.06 Fe0.82 Nd0.12 
Ti0.28 Cu0.57 Nb0.15 
C0.14 Ni0.58 Mo0.28 
V0.06 Co0.78 Zr0.16 
Fe0.18 Ni0.72 Zr0.1 
Cr0.12 Co0.71 Zr0.17 
C0.18 Co0.7 W0.12 
P0.18 Ni0.75 W0.07 
Al0.1 Ti0.17 Ni0.4 Cu0.05 Zr0.28 
Si0.15 Ti0.4 Zr0.45 
Mg0.5 Cu0.2 La0.3 
Ti0.25 Cu0.6 Zr0.15 
Al0.3 Ni0.25 Zr0.45 
Al0.1 Ni0.7 Zr0.2 
B0.185 Fe0.615 Nd0.2 
Co0.865 Zr0.055 Mo0.08 
Co0.8619999999999999 Zr0.07400000000000001 Mo0.064 
Ti0.6153846153846154 Zr0.38461538461538464 
Si0.25 Ti0.28 Nb0.47 
B0.02 Fe0.8 Mo0.18 
Al0.12 Cu0.82 Nd0.06 
P0.075 Cu0.87 Ag0.055 
Co0.85 Zr0.15 
C0.075 Co0.85 W0.075 
Al0.0995 Si0.005 Ti0.1592 Ni0.398 Cu0.0597 Zr0.2786 
C0.14 Fe0.74 W0.12 
Al0.1 Ti0.16 Ni0.4 Cu0.06 Zr0.28 
Al0.32 Ni0.2 Zr0.48 
Al0.16 Ni0.56 Zr0.28 
Cr0.1 Co0.725 Zr0.175 
Al0.1 Ti0.165 Ni0.4 Cu0.05 Zr0.285 
Ti0.344 Cu0.456 Nb0.2 
Si0.25 Ti0.25 Zr0.5 
B0.02 Co0.84 Nb0.14 
B0.2 Si0.2 Mo0.6 
Al0.04 Cu0.92 Ce0.04 
P0.2 Ni0.6 Pd0.2 
Ti0.4 Cu0.4 Zr0.1 Pd0.1 
B0.04 Fe0.78 Mo0.18 
Be0.24 Fe0.08 Cu0.12 Zr0.48 Nb0.08 
Fe0.09 Ni0.81 Zr0.1 
Al0.28 Ni0.54 La0.18 
Cr0.08 Co0.745 Zr0.175 
C0.16 Co0.48 Mo0.36 
C0.08 Ni0.72 Mo0.2 
Al0.25 Ni0.35 Zr0.4 
Co0.85 Zr0.1 Mo0.05 
P0.085 Cu0.845 Ag0.07 
C0.125 Co0.775 W0.1 
Co0.84 Zr0.16 
Al0.14 Cu0.78 Ce0.08 
Cr0.06 Co0.765 Zr0.175 
Ti0.3 Cu0.5 Zr0.2 
Mg0.45 Cu0.3 Nd0.25 
C0.18 Fe0.68 W0.14 
B0.078 Fe0.782 Nd0.14 
B0.02 Co0.82 Zr0.16 
Al0.1 Cu0.84 Ce0.06 
C0.1 Ni0.66 Mo0.24 
Co0.8 Zr0.16 W0.04 
Co0.848 Zr0.052000000000000005 Mo0.1 
Be0.22 Fe0.08 Ni0.04 Cu0.13 Zr0.45 Nb0.08 
Be0.3 Zr0.7 
Al0.5 Ni0.2 La0.3 
Al0.2 Ni0.45 Zr0.35 
Ni0.9 Zr0.1 
Mg0.2 Ni0.4 Y0.4 
P0.077 Cu0.852 Ag0.071 
Co0.797 Zr0.163 Mo0.04 
Ti0.41 Cu0.31 Zr0.28 
C0.18 Co0.42 Mo0.4 
Al0.02 Ni0.88 Zr0.1 
Si0.01 Ti0.415 Ni0.075 Cu0.375 Zr0.025 Sn0.05 Hf0.05 
Al0.14 Cu0.78 Nd0.08 
Mg0.23 Ca0.308 Cu0.077 Ag0.385 
Be0.3 Zr0.65 Nb0.05 
Al0.4 Ni0.35 La0.25 
Ti0.2 Cu0.65 Zr0.15 
Cr0.02 Co0.81 Zr0.17 
Fe0.84 Zr0.1 La0.06 
V0.3 Ni0.47 Zr0.23 
Al0.1 Cu0.84 Nd0.06 
B0.02 Fe0.78 Mo0.2 
C0.16 Co0.72 W0.12 
C0.22 Fe0.62 W0.16 
C0.12 Ni0.6 Mo0.28 
B0.02 Fe0.91 Hf0.07 
Cu0.7 Zn0.29 Pb0.01 
Al0.3 Ni0.5 La0.2 
Si0.15 V0.4 Zr0.45 
Al0.26 Ni0.56 La0.18 
Al0.53 Ni0.15 La0.32 
B0.04 Fe0.76 Mo0.2 
B0.175 Fe0.61875 Nd0.20625 
Ti0.4 Cu0.38 Zr0.1 Pd0.12 
Si0.15 Ti0.4 Nb0.45 
Al0.15 Ni0.55 Zr0.3 
B0.04 Fe0.89 Hf0.07 
Cr0.04 Co0.785 Zr0.175 
P0.07 Cu0.855 Ag0.075 
Sc0.375 Fe0.25 Zr0.375 
Fe0.84 Zr0.1 Pr0.06 
V0.3 Ni0.46 Zr0.24 
Al0.5 Cu0.2 La0.3 
Al0.1 Ni0.8 La0.1 
Al0.12 Cu0.8 Ce0.08 
P0.2 Ni0.72 Pt0.08 
B0.08 Fe0.77 Nd0.15 
P0.085 Cu0.825 Ag0.09 
Al0.32 Ni0.16 Zr0.52 
P0.065 Cu0.86 Ag0.075 
Ca0.65 Ag0.35 
Co0.83 Zr0.05 Mo0.12 
Ti0.25 Cu0.55 Zr0.2 
Fe0.51 Cu0.38 Ag0.11 
Si0.35 Ti0.08 Zr0.57 
Co0.8240000000000001 Zr0.09 Mo0.086 
C0.14 Co0.5 Mo0.36 
Al0.08 Cu0.86 Ce0.06 
P0.08199999999999999 Cu0.828 Ag0.09 
B0.17 Ni0.71 Ta0.12 
Mg0.45 Ni0.25 La0.3 
Si0.25 Ti0.25 Nb0.5 
Si0.3 Ti0.15 Zr0.55 
Mg0.3 Cu0.5 La0.2 
Al0.3 Ni0.2 Zr0.5 
Si0.02 Ti0.16 Ni0.59 Zr0.2 Sn0.03 
B0.075 Fe0.775 Nd0.15 
Al0.13 Ni0.58 Zr0.29 
P0.076 Cu0.835 Ag0.08900000000000001 
Cu0.95 Zr0.05 
Be0.22 Ni0.1 Cu0.13 Zr0.45 Nb0.1 
Al0.12 Cu0.8 Nd0.08 
Co0.816 Zr0.094 Mo0.09 
Al0.08 Cu0.86 Nd0.06 
Mg0.2 Cu0.4 Y0.4 
Mg0.5 Ni0.2 Nd0.3 
Mg0.4 Ni0.35 Nd0.25 
Mg0.3 Ni0.5 Nd0.2 
C0.1 Co0.8 W0.1 
Al0.24 Ni0.58 La0.18 
P0.09 Cu0.805 Ag0.105 
P0.07 Cu0.84 Ag0.09 
Al0.25 Ni0.3 Zr0.45 
Al0.14 Cu0.76 Ce0.1 
Fe0.84 Zr0.1 Gd0.06 
C0.2 Fe0.64 W0.16 
Ti0.4 Cu0.36 Zr0.1 Pd0.14 
Fe0.55 Cu0.32 Ag0.13 
V0.25 Ni0.505 Zr0.245 
B0.05 Fe0.81 Nd0.14 
P0.065 Cu0.845 Ag0.09 
P0.2 Ni0.56 Pd0.24 
Al0.1 Cu0.82 Ce0.08 
Ti0.32299999999999995 Cu0.4270000000000001 Nb0.25 
Fe0.89 Nd0.11 
Mg0.45 Cu0.25 La0.3 
V0.25 Ni0.5 Zr0.25 
Co0.81 Zr0.05 Mo0.14 
B0.08 Fe0.76 Nd0.16 
C0.1 Fe0.78 W0.12 
P0.08 Cu0.815 Ag0.105 
Al0.06 Cu0.88 Ce0.06 
P0.06 Cu0.85 Ag0.09 
Ti0.23 Cu0.57 Nb0.2 
Co0.8 Zr0.105 Mo0.095 
Si0.15 Ti0.35 Zr0.5 
Al0.3 Cu0.5 La0.2 
Mg0.5 Cu0.2 Nd0.3 
Co0.8 Zr0.1 Mo0.1 
Al0.2 Ni0.4 Zr0.4 
Mg0.4 Y0.4 Ag0.2 
C0.18 Co0.68 W0.14 
P0.076 Cu0.8190000000000001 Ag0.105 
Al0.11 Ni0.6 Zr0.29 
B0.17 Ni0.705 W0.125 
C0.2 Co0.65 W0.15 
Al0.14 Cu0.76 Nd0.1 
Co0.795 Zr0.105 Mo0.1 
Al0.1 Cu0.82 Nd0.08 
Si0.13 Ti0.4 Nb0.47 
Al0.55 Ni0.1 La0.35 
Si0.25 Ti0.2 Zr0.55 
Al0.06 Cu0.88 Nd0.06 
P0.07 Cu0.825 Ag0.105 
Al0.53 Ni0.13 La0.34 
B0.17 Ni0.7 Ta0.13 
Al0.45 Ni0.25 La0.3 
Al0.35 Ni0.05 Zr0.6 
Al0.15 Ni0.5 Zr0.35 
B0.25 Si0.1 Mo0.65 
